1719302260	0	1719302261
1719302261	5	1719302410
1719302410	10	1719302560
1719302560	15	1719302710
1719302710	20	1719302860
1719302860	25	1719304660
1719304660	30	1719305860
1719305860	33	1719305861
1719305861	35	1719307060
1719307060	38	1719307061
1719307061	40	1719308260
1719308260	43	1719308261
1719308261	45	1719309460
1719309460	46	1719309461
1719309461	50	1719310660
1719310660	49	1719310661
1719310661	45	1719310691
1719310691	41	1719310721
1719310721	36	1719310751
1719310751	31	1719310764
1719310764	30	1719310781
1719310781	27	1719310797
1719310797	26	1719310811
1719310811	22	1719310841
1719310841	19	1719310846
1719310846	17	1719310858
1719310858	15	1719310871
1719310871	11	1719310901
1719310901	6	1719310915
1719310915	5	1719310931
1719310931	1	1719310970
