27 1719418214 0,000000 0,000000 -101,000000 0,000000 0,000000
27 1719418215 0,000000 0,000000 -101,000000 0,000000 0,000000
27 1719418216 0,000000 0,000000 -101,000000 0,000000 0,000000
27 1719418217 0,000000 0,000000 -101,000000 0,000000 0,000000
27 1719418218 1,000000 1,000000 1,000000 1,000000 -20,200000
27 1719418219 1,000000 1,000000 2,000000 2,000000 -20,200000
27 1719418220 1,000000 1,000000 3,000000 3,000000 -20,200000
27 1719418221 1,000000 1,000000 4,000000 4,000000 -20,200000
27 1719418222 1,000000 1,000000 5,000000 5,000000 -20,200000
27 1719418223 0,000000 1,000000 5,000000 5,000000 -20,200000
27 1719418224 0,000000 1,000000 5,000000 5,000000 -20,200000
27 1719418225 0,000000 1,000000 5,000000 5,000000 -20,200000
27 1719418226 0,000000 1,000000 5,000000 5,000000 -20,200000
27 1719418227 0,000000 1,000000 5,000000 5,000000 -20,200000
27 1719418228 0,166667 1,200000 5,200000 5,200000 -20,200000
27 1719418229 0,166667 1,200000 5,400000 5,400000 -20,200000
27 1719418230 0,166667 1,200000 5,600000 5,600000 -20,200000
27 1719418231 0,166667 1,200000 5,800000 5,800000 -20,200000
27 1719418232 0,166667 1,200000 6,000000 6,000000 -20,200000
27 1719418233 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418234 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418235 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418236 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418237 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418238 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418239 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418240 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418241 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418242 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418243 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418244 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418245 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418246 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418247 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418248 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418249 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418250 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418251 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418252 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418253 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418254 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418255 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418256 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418257 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418258 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418259 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418260 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418261 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418262 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418263 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418264 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418265 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418266 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418267 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418268 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418269 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418270 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418271 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418272 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418273 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418274 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418275 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418276 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418277 0,000000 1,200000 6,000000 6,000000 -20,200000
27 1719418278 0,000000 1,400000 6,000000 6,000000 -20,200000
27 1719418279 0,000000 1,400000 6,000000 6,000000 -20,200000
27 1719418280 0,000000 1,400000 6,000000 6,000000 -20,200000
27 1719418281 0,000000 1,400000 6,000000 6,000000 -20,200000
27 1719418282 0,000000 1,400000 6,000000 6,000000 -20,200000
27 1719418283 0,000000 1,600000 6,000000 6,000000 -20,200000
27 1719418284 0,000000 1,600000 6,000000 6,000000 -20,200000
27 1719418285 0,000000 1,600000 6,000000 6,000000 -20,200000
27 1719418286 0,000000 1,600000 6,000000 6,000000 -20,200000
27 1719418287 0,000000 1,600000 6,000000 6,000000 -20,200000
27 1719418288 -0,111111 1,800000 5,800000 5,800000 -20,200000
27 1719418289 -0,111111 1,800000 5,600000 5,600000 -20,200000
27 1719418290 -0,111111 1,800000 5,400000 5,400000 -20,200000
27 1719418291 -0,111111 1,800000 5,200000 5,200000 -20,200000
27 1719418292 -0,111111 1,800000 5,000000 5,000000 -20,200000
27 1719418293 0,000000 1,800000 5,000000 5,000000 -20,200000
27 1719418294 0,000000 1,800000 5,000000 5,000000 -20,200000
27 1719418295 0,000000 1,800000 5,000000 5,000000 -20,200000
27 1719418296 0,000000 1,800000 5,000000 5,000000 -20,200000
27 1719418297 0,000000 1,800000 5,000000 5,000000 -20,200000
27 1719418298 0,000000 1,800000 5,000000 5,000000 -20,200000
27 1719418299 0,000000 1,800000 5,000000 5,000000 -20,200000
27 1719418300 0,000000 1,800000 5,000000 5,000000 -20,200000
