13 1719418213 0,000419 1,000000 0,000366 0,000509 0,000000
13 1719418214 0,000419 1,000000 0,000366 0,000509 0,000000
13 1719418215 0,000419 1,000000 0,000366 0,000509 0,000000
13 1719418216 0,000419 1,000000 0,000366 0,000509 0,000000
13 1719418217 0,000419 1,000000 0,000366 0,000509 0,000000
42 1719418223 0,507538 0,200000 0,507538 0,507538 0,051519
30 1719418223 0,518411 0,200000 0,518411 0,518411 0,053750
39 1719418223 1,038998 0,200000 1,038998 1,038998 0,215903
36 1719418223 0,923674 0,200000 0,923674 0,923674 0,170635
33 1719418223 0,491538 0,200000 0,491538 0,491538 0,048322
42 1719418224 0,507538 0,200000 0,507538 0,507538 0,051519
30 1719418224 0,518411 0,200000 0,518411 0,518411 0,053750
39 1719418224 1,038998 0,200000 1,038998 1,038998 0,215903
36 1719418224 0,923674 0,200000 0,923674 0,923674 0,170635
33 1719418224 0,491538 0,200000 0,491538 0,491538 0,048322
36 1719418225 0,923674 0,200000 0,923674 0,923674 0,170635
42 1719418225 0,507538 0,200000 0,507538 0,507538 0,051519
30 1719418225 0,518411 0,200000 0,518411 0,518411 0,053750
39 1719418225 1,038998 0,200000 1,038998 1,038998 0,215903
33 1719418225 0,491538 0,200000 0,491538 0,491538 0,048322
42 1719418226 0,507538 0,200000 0,507538 0,507538 0,051519
30 1719418226 0,518411 0,200000 0,518411 0,518411 0,053750
39 1719418226 1,038998 0,200000 1,038998 1,038998 0,215903
36 1719418226 0,923674 0,200000 0,923674 0,923674 0,170635
33 1719418226 0,491538 0,200000 0,491538 0,491538 0,048322
42 1719418227 0,507538 0,200000 0,507538 0,507538 0,051519
30 1719418227 0,518411 0,200000 0,518411 0,518411 0,053750
39 1719418227 1,038998 0,200000 1,038998 1,038998 0,215903
36 1719418227 0,923674 0,200000 0,923674 0,923674 0,170635
33 1719418227 0,491538 0,200000 0,491538 0,491538 0,048322
48 1719418228 9,071662 0,200000 9,071662 9,071662 16,459009
45 1719418228 0,082629 0,200000 0,082629 0,082629 0,001366
48 1719418229 9,071662 0,200000 9,071662 9,071662 16,459009
45 1719418229 0,082629 0,200000 0,082629 0,082629 0,001366
48 1719418230 9,071662 0,200000 9,071662 9,071662 16,459009
45 1719418230 0,082629 0,200000 0,082629 0,082629 0,001366
48 1719418231 9,071662 0,200000 9,071662 9,071662 16,459009
45 1719418231 0,082629 0,200000 0,082629 0,082629 0,001366
48 1719418232 9,071662 0,200000 9,071662 9,071662 16,459009
45 1719418232 0,082629 0,200000 0,082629 0,082629 0,001366
57 1719418233 9,306565 0,200000 9,306565 9,306565 17,322431
60 1719418233 0,090844 0,200000 0,090844 0,090844 0,001651
54 1719418233 0,207451 0,200000 0,207451 0,207451 0,008607
51 1719418233 10,038650 0,200000 10,038650 10,038650 20,154899
57 1719418234 9,306565 0,200000 9,306565 9,306565 17,322431
60 1719418234 0,090844 0,200000 0,090844 0,090844 0,001651
54 1719418234 0,207451 0,200000 0,207451 0,207451 0,008607
51 1719418234 10,038650 0,200000 10,038650 10,038650 20,154899
54 1719418235 0,207451 0,200000 0,207451 0,207451 0,008607
57 1719418235 9,306565 0,200000 9,306565 9,306565 17,322431
60 1719418235 0,090844 0,200000 0,090844 0,090844 0,001651
51 1719418235 10,038650 0,200000 10,038650 10,038650 20,154899
57 1719418236 9,306565 0,200000 9,306565 9,306565 17,322431
60 1719418236 0,090844 0,200000 0,090844 0,090844 0,001651
54 1719418236 0,207451 0,200000 0,207451 0,207451 0,008607
51 1719418236 10,038650 0,200000 10,038650 10,038650 20,154899
57 1719418237 9,306565 0,200000 9,306565 9,306565 17,322431
60 1719418237 0,090844 0,200000 0,090844 0,090844 0,001651
54 1719418237 0,207451 0,200000 0,207451 0,207451 0,008607
51 1719418237 10,038650 0,200000 10,038650 10,038650 20,154899
68 1719418238 0,117338 0,200000 0,117338 0,117338 0,002754
65 1719418238 14,146250 0,200000 14,146250 14,146250 40,023278
68 1719418239 0,117338 0,200000 0,117338 0,117338 0,002754
65 1719418239 14,146250 0,200000 14,146250 14,146250 40,023278
68 1719418240 0,117338 0,200000 0,117338 0,117338 0,002754
65 1719418240 14,146250 0,200000 14,146250 14,146250 40,023278
68 1719418241 0,117338 0,200000 0,117338 0,117338 0,002754
65 1719418241 14,146250 0,200000 14,146250 14,146250 40,023278
68 1719418242 0,117338 0,200000 0,117338 0,117338 0,002754
65 1719418242 14,146250 0,200000 14,146250 14,146250 40,023278
74 1719418243 0,265858 0,200000 0,265858 0,265858 0,014136
83 1719418243 0,000005 0,200000 0,000005 0,000005 0,000000
77 1719418243 6,502157 0,200000 6,502157 6,502157 8,455608
80 1719418243 0,063222 0,200000 0,063222 0,063222 0,000799
92 1719418243 0,063891 0,200000 0,063891 0,063891 0,000816
86 1719418243 0,087826 0,200000 0,087826 0,087826 0,001543
89 1719418243 0,000006 0,200000 0,000006 0,000006 0,000000
71 1719418243 28,669306 0,200000 28,669306 28,669306 164,385822
74 1719418244 0,265858 0,200000 0,265858 0,265858 0,014136
83 1719418244 0,000005 0,200000 0,000005 0,000005 0,000000
77 1719418244 6,502157 0,200000 6,502157 6,502157 8,455608
80 1719418244 0,063222 0,200000 0,063222 0,063222 0,000799
92 1719418244 0,063891 0,200000 0,063891 0,063891 0,000816
86 1719418244 0,087826 0,200000 0,087826 0,087826 0,001543
89 1719418244 0,000006 0,200000 0,000006 0,000006 0,000000
71 1719418244 28,669306 0,200000 28,669306 28,669306 164,385822
74 1719418245 0,265858 0,200000 0,265858 0,265858 0,014136
83 1719418245 0,000005 0,200000 0,000005 0,000005 0,000000
