1719607850	0	1719607851
1719607851	4	1719607852
1719607852	5	1719607911
1719607911	6	1719608030
1719608030	11	1719608090
1719608090	12	1719608210
1719608210	17	1719608270
1719608270	18	1719608390
1719608390	22	1719608391
1719608391	23	1719608450
1719608450	24	1719608570
1719608570	27	1719608571
1719608571	29	1719608631
1719608631	30	1719608750
1719608750	32	1719608751
1719608751	35	1719608811
1719608811	36	1719623151
1719623151	32	1719623173
1719623173	31	1719623181
1719623181	27	1719623186
1719623186	26	1719623211
1719623211	21	1719623218
1719623218	20	1719623241
1719623241	15	1719623252
1719623252	14	1719623271
1719623271	10	1719623296
1719623296	9	1719623301
1719623301	3	1719623311
1719623311	2	1719623331
1719623331	1	1719623361
