1719325837	0	1719325838
1719325838	4	1719325839
1719325839	5	1719325938
1719325938	10	1719326038
1719326038	15	1719326138
1719326138	20	1719326238
1719326238	25	1719326338
1719326338	30	1719326438
1719326438	35	1719326538
1719326538	40	1719326638
1719326638	45	1719326738
1719326738	50	1719331238
1719331238	45	1719331268
1719331268	40	1719331298
1719331298	35	1719331328
1719331328	30	1719331358
1719331358	27	1719331360
1719331360	26	1719331367
1719331367	25	1719331388
1719331388	20	1719331418
1719331418	17	1719331421
1719331421	16	1719331424
1719331424	15	1719331448
1719331448	11	1719331451
1719331451	10	1719331478
1719331478	6	1719331489
1719331489	5	1719331508
1719331508	1	1719331521
