13 1719311437 0,000237 1,000000 0,000202 0,000333 0,000000
13 1719311438 0,000237 1,000000 0,000202 0,000333 0,000000
13 1719311439 0,000237 1,000000 0,000202 0,000333 0,000000
13 1719311440 0,000237 1,000000 0,000202 0,000333 0,000000
13 1719311441 0,000237 1,000000 0,000202 0,000333 0,000000
28 1719311442 0,491587 0,200000 0,491587 0,491587 0,048332
16 1719311442 0,565871 0,200000 0,565871 0,565871 0,064042
25 1719311442 0,472777 0,200000 0,472777 0,472777 0,044704
22 1719311442 0,559691 0,200000 0,559691 0,559691 0,062651
19 1719311442 0,471456 0,200000 0,471456 0,471456 0,044454
28 1719311443 0,491587 0,200000 0,491587 0,491587 0,048332
16 1719311443 0,565871 0,200000 0,565871 0,565871 0,064042
25 1719311443 0,472777 0,200000 0,472777 0,472777 0,044704
22 1719311443 0,559691 0,200000 0,559691 0,559691 0,062651
19 1719311443 0,471456 0,200000 0,471456 0,471456 0,044454
28 1719311444 0,491587 0,200000 0,491587 0,491587 0,048332
16 1719311444 0,565871 0,200000 0,565871 0,565871 0,064042
25 1719311444 0,472777 0,200000 0,472777 0,472777 0,044704
22 1719311444 0,559691 0,200000 0,559691 0,559691 0,062651
19 1719311444 0,471456 0,200000 0,471456 0,471456 0,044454
28 1719311445 0,491587 0,200000 0,491587 0,491587 0,048332
16 1719311445 0,565871 0,200000 0,565871 0,565871 0,064042
25 1719311445 0,472777 0,200000 0,472777 0,472777 0,044704
22 1719311445 0,559691 0,200000 0,559691 0,559691 0,062651
19 1719311445 0,471456 0,200000 0,471456 0,471456 0,044454
28 1719311446 0,491587 0,200000 0,491587 0,491587 0,048332
16 1719311446 0,565871 0,200000 0,565871 0,565871 0,064042
25 1719311446 0,472777 0,200000 0,472777 0,472777 0,044704
22 1719311446 0,559691 0,200000 0,559691 0,559691 0,062651
19 1719311446 0,471456 0,200000 0,471456 0,471456 0,044454
48 1719311447 8,072789 0,200000 8,072789 8,072789 13,033986
45 1719311447 0,067619 0,200000 0,067619 0,067619 0,000914
48 1719311448 8,072789 0,200000 8,072789 8,072789 13,033986
45 1719311448 0,067619 0,200000 0,067619 0,067619 0,000914
48 1719311449 8,072789 0,200000 8,072789 8,072789 13,033986
45 1719311449 0,067619 0,200000 0,067619 0,067619 0,000914
48 1719311450 8,072789 0,200000 8,072789 8,072789 13,033986
