42 1719311438 0,000000 0,000000 -101,000000 0,000000 0,000000
42 1719311439 0,000000 0,000000 -101,000000 0,000000 0,000000
42 1719311440 0,000000 0,000000 -101,000000 0,000000 0,000000
42 1719311441 0,000000 0,000000 -101,000000 0,000000 0,000000
42 1719311442 1,200000 1,000000 1,200000 1,200000 -20,200000
42 1719311443 1,200000 1,000000 2,400000 2,400000 -20,200000
42 1719311444 1,200000 1,000000 3,600000 3,600000 -20,200000
42 1719311445 1,200000 1,000000 4,800000 4,800000 -20,200000
42 1719311446 1,200000 1,000000 6,000000 6,000000 -20,200000
42 1719311447 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311448 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311449 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311450 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311451 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311452 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311453 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311454 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311455 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311456 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311457 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311458 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311459 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311460 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311461 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311462 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311463 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311464 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311465 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311466 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311467 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311468 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311469 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311470 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311471 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311472 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311473 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311474 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311475 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311476 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311477 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311478 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311479 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311480 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311481 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311482 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311483 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311484 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311485 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311486 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311487 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311488 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311489 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311490 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311491 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311492 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311493 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311494 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311495 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311496 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311497 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311498 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311499 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311500 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311501 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1719311502 0,000000 1,000000 6,000000 6,000000 -20,200000
