42 1718982623 0,000000 0,000000 -101,000000 0,000000 0,000000
42 1718982624 0,000000 0,000000 -101,000000 0,000000 0,000000
42 1718982625 0,000000 0,000000 -101,000000 0,000000 0,000000
42 1718982626 0,000000 0,000000 -101,000000 0,000000 0,000000
42 1718982627 1,200000 1,000000 1,200000 1,200000 -20,200000
42 1718982628 1,200000 1,000000 2,400000 2,400000 -20,200000
42 1718982629 1,200000 1,000000 3,600000 3,600000 -20,200000
42 1718982630 1,200000 1,000000 4,800000 4,800000 -20,200000
42 1718982631 1,200000 1,000000 6,000000 6,000000 -20,200000
42 1718982632 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982633 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982634 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982635 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982636 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982637 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982638 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982639 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982640 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982641 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982642 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982643 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982644 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982645 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982646 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982647 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982648 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982649 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982650 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982651 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982652 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982653 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982654 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982655 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982656 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982657 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982658 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982659 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982660 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982661 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982662 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982663 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982664 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982665 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982666 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982667 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982668 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982669 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982670 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982671 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982672 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982673 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982674 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982675 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982676 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982677 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982678 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982679 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982680 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982681 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982682 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982683 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982684 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982685 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982686 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982687 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982688 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982689 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982690 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982691 0,000000 1,000000 6,000000 6,000000 -20,200000
42 1718982692 -0,166667 1,200000 5,800000 5,800000 -20,200000
42 1718982693 -0,166667 1,200000 5,600000 5,600000 -20,200000
42 1718982694 -0,166667 1,200000 5,400000 5,400000 -20,200000
42 1718982695 -0,166667 1,200000 5,200000 5,200000 -20,200000
42 1718982696 -0,166667 1,200000 5,000000 5,000000 -20,200000
42 1718982697 0,000000 1,200000 5,000000 5,000000 -20,200000
42 1718982698 0,000000 1,200000 5,000000 5,000000 -20,200000
42 1718982699 0,000000 1,200000 5,000000 5,000000 -20,200000
42 1718982700 0,000000 1,200000 5,000000 5,000000 -20,200000
42 1718982701 0,000000 1,200000 5,000000 5,000000 -20,200000
42 1718982702 0,000000 1,200000 5,000000 5,000000 -20,200000
42 1718982703 0,000000 1,200000 5,000000 5,000000 -20,200000
42 1718982704 0,000000 1,200000 5,000000 5,000000 -20,200000
42 1718982705 0,000000 1,200000 5,000000 5,000000 -20,200000
42 1718982706 0,000000 1,200000 5,000000 5,000000 -20,200000
42 1718982707 0,000000 1,200000 5,000000 5,000000 -20,200000
42 1718982708 0,000000 1,200000 5,000000 5,000000 -20,200000
42 1718982709 0,000000 1,200000 5,000000 5,000000 -20,200000
42 1718982710 0,000000 1,200000 5,000000 5,000000 -20,200000
42 1718982711 0,000000 1,200000 5,000000 5,000000 -20,200000
42 1718982712 0,000000 1,200000 5,000000 5,000000 -20,200000
42 1718982713 0,000000 1,200000 5,000000 5,000000 -20,200000
42 1718982714 0,000000 1,200000 5,000000 5,000000 -20,200000
42 1718982715 0,000000 1,200000 5,000000 5,000000 -20,200000
42 1718982716 0,000000 1,200000 5,000000 5,000000 -20,200000
42 1718982717 0,000000 1,200000 5,000000 5,000000 -20,200000
42 1718982718 0,000000 1,200000 5,000000 5,000000 -20,200000
