13 1718982622 0,000277 1,000000 0,000192 0,000479 0,000000
13 1718982623 0,000277 1,000000 0,000192 0,000479 0,000000
13 1718982624 0,000277 1,000000 0,000192 0,000479 0,000000
13 1718982625 0,000277 1,000000 0,000192 0,000479 0,000000
13 1718982626 0,000277 1,000000 0,000192 0,000479 0,000000
19 1718982627 0,489883 0,200000 0,489883 0,489883 0,047997
28 1718982627 0,517827 0,200000 0,517827 0,517827 0,053629
16 1718982627 0,527785 0,200000 0,527785 0,527785 0,055711
25 1718982627 0,531240 0,200000 0,531240 0,531240 0,056443
22 1718982627 0,523192 0,200000 0,523192 0,523192 0,054746
19 1718982628 0,489883 0,200000 0,489883 0,489883 0,047997
28 1718982628 0,517827 0,200000 0,517827 0,517827 0,053629
16 1718982628 0,527785 0,200000 0,527785 0,527785 0,055711
25 1718982628 0,531240 0,200000 0,531240 0,531240 0,056443
22 1718982628 0,523192 0,200000 0,523192 0,523192 0,054746
19 1718982629 0,489883 0,200000 0,489883 0,489883 0,047997
28 1718982629 0,517827 0,200000 0,517827 0,517827 0,053629
16 1718982629 0,527785 0,200000 0,527785 0,527785 0,055711
25 1718982629 0,531240 0,200000 0,531240 0,531240 0,056443
22 1718982629 0,523192 0,200000 0,523192 0,523192 0,054746
19 1718982630 0,489883 0,200000 0,489883 0,489883 0,047997
28 1718982630 0,517827 0,200000 0,517827 0,517827 0,053629
16 1718982630 0,527785 0,200000 0,527785 0,527785 0,055711
25 1718982630 0,531240 0,200000 0,531240 0,531240 0,056443
22 1718982630 0,523192 0,200000 0,523192 0,523192 0,054746
19 1718982631 0,489883 0,200000 0,489883 0,489883 0,047997
28 1718982631 0,517827 0,200000 0,517827 0,517827 0,053629
16 1718982631 0,527785 0,200000 0,527785 0,527785 0,055711
25 1718982631 0,531240 0,200000 0,531240 0,531240 0,056443
22 1718982631 0,523192 0,200000 0,523192 0,523192 0,054746
45 1718982637 0,082292 0,200000 0,082292 0,082292 0,001354
