11 1718982622 1,000000 -1,000000 -101,000000 0,000000 0,000000
11 1718982623 1,000000 -1,000000 -101,000000 0,000000 0,000000
11 1718982624 1,000000 -1,000000 -101,000000 0,000000 0,000000
11 1718982625 1,000000 -1,000000 -101,000000 0,000000 0,000000
11 1718982626 1,000000 -1,000000 -101,000000 0,000000 0,000000
11 1718982627 1,000000 -1,000000 -101,000000 0,000000 0,000000
11 1718982628 1,000000 -1,000000 -101,000000 0,000000 0,000000
11 1718982629 1,000000 -1,000000 -101,000000 0,000000 0,000000
11 1718982630 1,000000 -1,000000 -101,000000 0,000000 0,000000
11 1718982631 1,000000 -1,000000 -101,000000 0,000000 0,000000
11 1718982637 0,200000 -1,000000 -101,000000 0,000000 0,000000
11 1718982638 0,200000 -1,000000 -101,000000 0,000000 0,000000
11 1718982639 0,200000 -1,000000 -101,000000 0,000000 0,000000
11 1718982640 0,200000 -1,000000 -101,000000 0,000000 0,000000
11 1718982641 0,200000 -1,000000 -101,000000 0,000000 0,000000
11 1718982642 0,800000 -1,000000 -101,000000 0,000000 0,000000
11 1718982643 0,800000 -1,000000 -101,000000 0,000000 0,000000
11 1718982644 0,800000 -1,000000 -101,000000 0,000000 0,000000
11 1718982645 0,800000 -1,000000 -101,000000 0,000000 0,000000
11 1718982646 0,800000 -1,000000 -101,000000 0,000000 0,000000
11 1718982647 0,400000 -1,000000 -101,000000 0,000000 0,000000
11 1718982648 0,400000 -1,000000 -101,000000 0,000000 0,000000
11 1718982649 0,400000 -1,000000 -101,000000 0,000000 0,000000
11 1718982650 0,400000 -1,000000 -101,000000 0,000000 0,000000
11 1718982651 0,400000 -1,000000 -101,000000 0,000000 0,000000
11 1718982652 0,800000 -1,000000 -101,000000 0,000000 0,000000
11 1718982653 0,800000 -1,000000 -101,000000 0,000000 0,000000
11 1718982654 0,800000 -1,000000 -101,000000 0,000000 0,000000
11 1718982655 0,800000 -1,000000 -101,000000 0,000000 0,000000
11 1718982656 0,800000 -1,000000 -101,000000 0,000000 0,000000
11 1718982657 1,800000 -1,000000 -101,000000 0,000000 0,000000
11 1718982658 1,800000 -1,000000 -101,000000 0,000000 0,000000
11 1718982659 1,800000 -1,000000 -101,000000 0,000000 0,000000
11 1718982660 1,800000 -1,000000 -101,000000 0,000000 0,000000
11 1718982661 1,800000 -1,000000 -101,000000 0,000000 0,000000
11 1718982662 1,000000 -1,000000 -101,000000 0,000000 0,000000
11 1718982663 1,000000 -1,000000 -101,000000 0,000000 0,000000
11 1718982664 1,000000 -1,000000 -101,000000 0,000000 0,000000
11 1718982665 1,000000 -1,000000 -101,000000 0,000000 0,000000
11 1718982666 1,000000 -1,000000 -101,000000 0,000000 0,000000
11 1718982667 0,600000 -1,000000 -101,000000 0,000000 0,000000
11 1718982668 0,600000 -1,000000 -101,000000 0,000000 0,000000
11 1718982669 0,600000 -1,000000 -101,000000 0,000000 0,000000
