1718997022	0	1718997023
1718997023	1	1718997024
1718997024	5	1718997173
1718997173	10	1718997323
1718997323	15	1718997473
1718997473	20	1718997623
1718997623	25	1718999423
1718999423	30	1719000623
1719000623	35	1719001823
1719001823	40	1719003023
1719003023	45	1719004223
1719004223	50	1719005423
1719005423	45	1719005453
1719005453	40	1719005483
1719005483	36	1719005498
1719005498	35	1719005513
1719005513	31	1719005522
1719005522	30	1719005543
1719005543	25	1719005573
1719005573	20	1719005603
1719005603	15	1719005633
1719005633	12	1719005663
1719005663	7	1719005667
1719005667	6	1719005674
1719005674	5	1719005693
