13 1719287860 0,000221 1,000000 0,000200 0,000271 0,000000
13 1719287861 0,000221 1,000000 0,000200 0,000271 0,000000
13 1719287862 0,000221 1,000000 0,000200 0,000271 0,000000
13 1719287863 0,000221 1,000000 0,000200 0,000271 0,000000
13 1719287864 0,000221 1,000000 0,000200 0,000271 0,000000
28 1719287865 0,527256 0,200000 0,527256 0,527256 0,055600
16 1719287865 0,523877 0,200000 0,523877 0,523877 0,054889
25 1719287865 0,528583 0,200000 0,528583 0,528583 0,055880
22 1719287865 0,555778 0,200000 0,555778 0,555778 0,061778
19 1719287865 0,474129 0,200000 0,474129 0,474129 0,044960
28 1719287866 0,527256 0,200000 0,527256 0,527256 0,055600
16 1719287866 0,523877 0,200000 0,523877 0,523877 0,054889
25 1719287866 0,528583 0,200000 0,528583 0,528583 0,055880
22 1719287866 0,555778 0,200000 0,555778 0,555778 0,061778
19 1719287866 0,474129 0,200000 0,474129 0,474129 0,044960
28 1719287867 0,527256 0,200000 0,527256 0,527256 0,055600
16 1719287867 0,523877 0,200000 0,523877 0,523877 0,054889
25 1719287867 0,528583 0,200000 0,528583 0,528583 0,055880
22 1719287867 0,555778 0,200000 0,555778 0,555778 0,061778
19 1719287867 0,474129 0,200000 0,474129 0,474129 0,044960
28 1719287868 0,527256 0,200000 0,527256 0,527256 0,055600
16 1719287868 0,523877 0,200000 0,523877 0,523877 0,054889
25 1719287868 0,528583 0,200000 0,528583 0,528583 0,055880
22 1719287868 0,555778 0,200000 0,555778 0,555778 0,061778
19 1719287868 0,474129 0,200000 0,474129 0,474129 0,044960
28 1719287869 0,527256 0,200000 0,527256 0,527256 0,055600
16 1719287869 0,523877 0,200000 0,523877 0,523877 0,054889
25 1719287869 0,528583 0,200000 0,528583 0,528583 0,055880
22 1719287869 0,555778 0,200000 0,555778 0,555778 0,061778
19 1719287869 0,474129 0,200000 0,474129 0,474129 0,044960
45 1719287870 6,083799 0,200000 6,083799 6,083799 7,402522
45 1719287871 6,083799 0,200000 6,083799 6,083799 7,402522
45 1719287872 6,083799 0,200000 6,083799 6,083799 7,402522
45 1719287873 6,083799 0,200000 6,083799 6,083799 7,402522
45 1719287874 6,083799 0,200000 6,083799 6,083799 7,402522
54 1719287875 0,128750 0,200000 0,128750 0,128750 0,003315
54 1719287876 0,128750 0,200000 0,128750 0,128750 0,003315
60 1719287875 11,148793 0,200000 11,148793 11,148793 24,859119
60 1719287876 11,148793 0,200000 11,148793 11,148793 24,859119
63 1719287875 0,107449 0,200000 0,107449 0,107449 0,002309
63 1719287876 0,107449 0,200000 0,107449 0,107449 0,002309
57 1719287875 0,062481 0,200000 0,062481 0,062481 0,000781
57 1719287876 0,062481 0,200000 0,062481 0,062481 0,000781
48 1719287875 0,119751 0,200000 0,119751 0,119751 0,002868
48 1719287876 0,119751 0,200000 0,119751 0,119751 0,002868
51 1719287875 11,117432 0,200000 11,117432 11,117432 24,719459
51 1719287876 11,117432 0,200000 11,117432 11,117432 24,719459
54 1719287877 0,128750 0,200000 0,128750 0,128750 0,003315
60 1719287877 11,148793 0,200000 11,148793 11,148793 24,859119
63 1719287877 0,107449 0,200000 0,107449 0,107449 0,002309
57 1719287877 0,062481 0,200000 0,062481 0,062481 0,000781
48 1719287877 0,119751 0,200000 0,119751 0,119751 0,002868
51 1719287877 11,117432 0,200000 11,117432 11,117432 24,719459
54 1719287878 0,128750 0,200000 0,128750 0,128750 0,003315
60 1719287878 11,148793 0,200000 11,148793 11,148793 24,859119
63 1719287878 0,107449 0,200000 0,107449 0,107449 0,002309
57 1719287878 0,062481 0,200000 0,062481 0,062481 0,000781
48 1719287878 0,119751 0,200000 0,119751 0,119751 0,002868
51 1719287878 11,117432 0,200000 11,117432 11,117432 24,719459
54 1719287879 0,128750 0,200000 0,128750 0,128750 0,003315
60 1719287879 11,148793 0,200000 11,148793 11,148793 24,859119
63 1719287879 0,107449 0,200000 0,107449 0,107449 0,002309
57 1719287879 0,062481 0,200000 0,062481 0,062481 0,000781
48 1719287879 0,119751 0,200000 0,119751 0,119751 0,002868
51 1719287879 11,117432 0,200000 11,117432 11,117432 24,719459
77 1719287880 0,000003 0,200000 0,000003 0,000003 0,000000
74 1719287880 6,376873 0,200000 6,376873 6,376873 8,132903
68 1719287880 16,055224 0,200000 16,055224 16,055224 51,554042
71 1719287880 22,482811 0,200000 22,482811 22,482811 101,095356
77 1719287881 0,000003 0,200000 0,000003 0,000003 0,000000
74 1719287881 6,376873 0,200000 6,376873 6,376873 8,132903
68 1719287881 16,055224 0,200000 16,055224 16,055224 51,554042
71 1719287881 22,482811 0,200000 22,482811 22,482811 101,095356
77 1719287882 0,000003 0,200000 0,000003 0,000003 0,000000
74 1719287882 6,376873 0,200000 6,376873 6,376873 8,132903
68 1719287882 16,055224 0,200000 16,055224 16,055224 51,554042
71 1719287882 22,482811 0,200000 22,482811 22,482811 101,095356
77 1719287883 0,000003 0,200000 0,000003 0,000003 0,000000
74 1719287883 6,376873 0,200000 6,376873 6,376873 8,132903
68 1719287883 16,055224 0,200000 16,055224 16,055224 51,554042
71 1719287883 22,482811 0,200000 22,482811 22,482811 101,095356
77 1719287884 0,000003 0,200000 0,000003 0,000003 0,000000
74 1719287884 6,376873 0,200000 6,376873 6,376873 8,132903
68 1719287884 16,055224 0,200000 16,055224 16,055224 51,554042
71 1719287884 22,482811 0,200000 22,482811 22,482811 101,095356
82 1719287885 0,074248 0,200000 0,074248 0,074248 0,001103
85 1719287885 0,000002 0,200000 0,000002 0,000002 0,000000
82 1719287886 0,074248 0,200000 0,074248 0,074248 0,001103
85 1719287886 0,000002 0,200000 0,000002 0,000002 0,000000
82 1719287887 0,074248 0,200000 0,074248 0,074248 0,001103
85 1719287887 0,000002 0,200000 0,000002 0,000002 0,000000
82 1719287888 0,074248 0,200000 0,074248 0,074248 0,001103
85 1719287888 0,000002 0,200000 0,000002 0,000002 0,000000
82 1719287889 0,074248 0,200000 0,074248 0,074248 0,001103
85 1719287889 0,000002 0,200000 0,000002 0,000002 0,000000
103 1719287890 15,277367 0,200000 15,277367 15,277367 46,679591
91 1719287890 0,254737 0,200000 0,254737 0,254737 0,012978
88 1719287890 0,000012 0,200000 0,000012 0,000012 0,000000
97 1719287890 0,065280 0,200000 0,065280 0,065280 0,000852
100 1719287890 0,000002 0,200000 0,000002 0,000002 0,000000
106 1719287890 0,071586 0,200000 0,071586 0,071586 0,001025
94 1719287890 15,079758 0,200000 15,079758 15,079758 45,479821
71 1719287890 30,232301 0,400000 30,031889 30,432714 365,612881
103 1719287891 15,277367 0,200000 15,277367 15,277367 46,679591
91 1719287891 0,254737 0,200000 0,254737 0,254737 0,012978
88 1719287891 0,000012 0,200000 0,000012 0,000012 0,000000
97 1719287891 0,065280 0,200000 0,065280 0,065280 0,000852
100 1719287891 0,000002 0,200000 0,000002 0,000002 0,000000
106 1719287891 0,071586 0,200000 0,071586 0,071586 0,001025
94 1719287891 15,079758 0,200000 15,079758 15,079758 45,479821
71 1719287891 30,232301 0,400000 30,031889 30,432714 365,612881
103 1719287892 15,277367 0,200000 15,277367 15,277367 46,679591
91 1719287892 0,254737 0,200000 0,254737 0,254737 0,012978
88 1719287892 0,000012 0,200000 0,000012 0,000012 0,000000
97 1719287892 0,065280 0,200000 0,065280 0,065280 0,000852
100 1719287892 0,000002 0,200000 0,000002 0,000002 0,000000
106 1719287892 0,071586 0,200000 0,071586 0,071586 0,001025
94 1719287892 15,079758 0,200000 15,079758 15,079758 45,479821
71 1719287892 30,232301 0,400000 30,031889 30,432714 365,612881
103 1719287893 15,277367 0,200000 15,277367 15,277367 46,679591
91 1719287893 0,254737 0,200000 0,254737 0,254737 0,012978
88 1719287893 0,000012 0,200000 0,000012 0,000012 0,000000
97 1719287893 0,065280 0,200000 0,065280 0,065280 0,000852
100 1719287893 0,000002 0,200000 0,000002 0,000002 0,000000
106 1719287893 0,071586 0,200000 0,071586 0,071586 0,001025
94 1719287893 15,079758 0,200000 15,079758 15,079758 45,479821
71 1719287893 30,232301 0,400000 30,031889 30,432714 365,612881
103 1719287894 15,277367 0,200000 15,277367 15,277367 46,679591
91 1719287894 0,254737 0,200000 0,254737 0,254737 0,012978
88 1719287894 0,000012 0,200000 0,000012 0,000012 0,000000
97 1719287894 0,065280 0,200000 0,065280 0,065280 0,000852
100 1719287894 0,000002 0,200000 0,000002 0,000002 0,000000
106 1719287894 0,071586 0,200000 0,071586 0,071586 0,001025
94 1719287894 15,079758 0,200000 15,079758 15,079758 45,479821
71 1719287894 30,232301 0,400000 30,031889 30,432714 365,612881
118 1719287895 0,385005 0,200000 0,385005 0,385005 0,029646
109 1719287895 5,011547 0,200000 5,011547 5,011547 5,023121
115 1719287895 0,128303 0,200000 0,128303 0,128303 0,003292
112 1719287895 11,129674 0,200000 11,129674 11,129674 24,773928
118 1719287896 0,385005 0,200000 0,385005 0,385005 0,029646
109 1719287896 5,011547 0,200000 5,011547 5,011547 5,023121
115 1719287896 0,128303 0,200000 0,128303 0,128303 0,003292
112 1719287896 11,129674 0,200000 11,129674 11,129674 24,773928
118 1719287897 0,385005 0,200000 0,385005 0,385005 0,029646
109 1719287897 5,011547 0,200000 5,011547 5,011547 5,023121
115 1719287897 0,128303 0,200000 0,128303 0,128303 0,003292
112 1719287897 11,129674 0,200000 11,129674 11,129674 24,773928
118 1719287898 0,385005 0,200000 0,385005 0,385005 0,029646
109 1719287898 5,011547 0,200000 5,011547 5,011547 5,023121
115 1719287898 0,128303 0,200000 0,128303 0,128303 0,003292
112 1719287898 11,129674 0,200000 11,129674 11,129674 24,773928
118 1719287899 0,385005 0,200000 0,385005 0,385005 0,029646
109 1719287899 5,011547 0,200000 5,011547 5,011547 5,023121
115 1719287899 0,128303 0,200000 0,128303 0,128303 0,003292
112 1719287899 11,129674 0,200000 11,129674 11,129674 24,773928
126 1719287900 6,128135 0,200000 6,128135 6,128135 7,510808
123 1719287900 6,015715 0,200000 6,015715 6,015715 7,237765
71 1719287900 41,924257 0,200000 41,924257 41,924257 351,528666
126 1719287901 6,128135 0,200000 6,128135 6,128135 7,510808
123 1719287901 6,015715 0,200000 6,015715 6,015715 7,237765
71 1719287901 41,924257 0,200000 41,924257 41,924257 351,528666
126 1719287902 6,128135 0,200000 6,128135 6,128135 7,510808
123 1719287902 6,015715 0,200000 6,015715 6,015715 7,237765
71 1719287902 41,924257 0,200000 41,924257 41,924257 351,528666
126 1719287903 6,128135 0,200000 6,128135 6,128135 7,510808
123 1719287903 6,015715 0,200000 6,015715 6,015715 7,237765
71 1719287903 41,924257 0,200000 41,924257 41,924257 351,528666
126 1719287904 6,128135 0,200000 6,128135 6,128135 7,510808
123 1719287904 6,015715 0,200000 6,015715 6,015715 7,237765
71 1719287904 41,924257 0,200000 41,924257 41,924257 351,528666
131 1719287925 8,197680 0,200000 8,197680 8,197680 13,440393
131 1719287926 8,197680 0,200000 8,197680 8,197680 13,440393
131 1719287927 8,197680 0,200000 8,197680 8,197680 13,440393
131 1719287928 8,197680 0,200000 8,197680 8,197680 13,440393
131 1719287929 8,197680 0,200000 8,197680 8,197680 13,440393
22 1719287930 0,522141 0,200000 0,522141 0,522141 0,054526
22 1719287931 0,522141 0,200000 0,522141 0,522141 0,054526
22 1719287932 0,522141 0,200000 0,522141 0,522141 0,054526
22 1719287933 0,522141 0,200000 0,522141 0,522141 0,054526
22 1719287934 0,522141 0,200000 0,522141 0,522141 0,054526
135 1719287935 0,000004 0,200000 0,000004 0,000004 0,000000
138 1719287935 0,070522 0,200000 0,070522 0,070522 0,000995
71 1719287935 77,340542 0,200000 77,340542 77,340542 1196,311882
135 1719287936 0,000004 0,200000 0,000004 0,000004 0,000000
138 1719287936 0,070522 0,200000 0,070522 0,070522 0,000995
71 1719287936 77,340542 0,200000 77,340542 77,340542 1196,311882
135 1719287937 0,000004 0,200000 0,000004 0,000004 0,000000
